ID,S1_Progress,S2_Progress,S1_Attention1,S1_Attention2,S1_Attention3,S1_AttentionFailed,S2_Attention1,S2_Attention_2,S2_Attention_3,S2_AttentionFailed,Gender,Gender_TEXT,Ethnicity,Ethnicity_TEXT,Education,Religion,Religion_9_TEXT,Hel_Pr1,Hel_Pr2,Hel_Pr3,Hel_Pr4,Hel_Pr5,Hel_Pr6,Hel_Pr7,Age,Rrel_exp4,ICQ1,ICQ2,ICQ3,ICQ4,ICQ5,ICQ6,ICQ7,ICQ8,ICQ9,ICQ10,ICQ11,ICQ12,ICQ13,ICQ14,ICQ15,RecFP_1,RecFP_2,RecFP_3,RecFP_4,RecFP_5,RecFP_6,RecFP_7,RecFP_8,AuthFP_1,AuthFP_2,AuthFP_3,AuthFP_4,AuthFP_5,AuthFP_6,AuthFP_7,AuthFP_8
431,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Master’s degree,Christianity,,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,33,NA,I'm only fair at this,I'm always poor at this,I'm only fair at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,Extremely important,Quite important,Extremely important,Extremely important,Quite important,Extremely important,Extremely important,Quite important,Extremely unimportant,Quite unimportant,Slightly unimportant,Slightly unimportant,Extremely unimportant,Slightly important,Extremely unimportant,Extremely unimportant
437,100,100,Disagree,Neither agree nor disagree,Agree,No,Slightly important,Often,Moderately so,No,Male,,Malay,,Bachelor’s degree,Islam,,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,31,more than 3 years but less than 5 years,I'm only fair at this,I'm always poor at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm OK at this,Quite important,Quite important,Quite important,Quite important,Quite important,Quite important,Extremely important,Quite important,Slightly unimportant,Extremely unimportant,Slightly important,Slightly unimportant,Slightly important,Quite unimportant,Extremely unimportant,Extremely unimportant
446,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,"Other, please specify:","Mixed - Indian/Chinese, does it make a difference in this survey?",High school graduate,Atheism,,Agree,Agree,Agree,Agree,Undecided,Disagree,Disagree,25,more than 1 year but less than 3 years,I'm only fair at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,Quite important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Quite important,Slightly important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant
28,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Christianity,,Strongly agree,Strongly agree,Strongly disagree,Agree,Undecided,Agree,Agree,39,1 - 6 months,I'm only fair at this,I'm only fair at this,I'm always poor at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm only fair at this,Quite important,Quite unimportant,Quite important,Quite important,Slightly unimportant,Extremely important,Extremely important,Slightly important,Quite important,Quite unimportant,Slightly important,Quite unimportant,Quite unimportant,Extremely unimportant,Quite important,Extremely unimportant
32,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite important,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Buddhism,,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,27,more than 1 year but less than 3 years,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always poor at this,I'm always good at this,I'm always poor at this,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely unimportant,Slightly important,Slightly unimportant,Extremely unimportant,Extremely important,Slightly important,Extremely unimportant,Extremely unimportant
34,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Christianity,,Strongly agree,Disagree,Strongly agree,Disagree,Undecided,Strongly disagree,Strongly disagree,26,more than 1 year but less than 3 years,I'm OK at this,I'm always good at this,I'm always poor at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm only fair at this,I'm only fair at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm only fair at this,Slightly important,Slightly important,Quite important,Slightly important,Quite important,Quite important,Extremely important,Quite important,Slightly important,Slightly unimportant,Slightly important,Quite unimportant,Slightly unimportant,Quite important,Slightly unimportant,Slightly unimportant
73,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Malay,,Bachelor’s degree,Agnosticism,,Agree,Agree,Undecided,Undecided,Undecided,Agree,Agree,27,7 - 12 months,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Quite unimportant,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Quite unimportant
81,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Malay,,Master’s degree,Islam,,Undecided,Undecided,Agree,Disagree,Undecided,Disagree,Undecided,25,1 - 6 months,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm always good at this,I'm always good at this,I'm always good at this,Slightly important,Slightly unimportant,Slightly important,Quite unimportant,Slightly unimportant,Slightly important,Quite important,Slightly unimportant,Quite unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Quite unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant
86,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Indian,,Bachelor’s degree,Atheism,,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,32,7 - 12 months,I'm OK at this,I'm always poor at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,Slightly important,Slightly unimportant,Slightly important,Slightly important,Slightly unimportant,Quite unimportant,Slightly unimportant,Slightly unimportant,Quite unimportant,Extremely unimportant,Slightly unimportant,Extremely unimportant,Quite unimportant,Quite unimportant,Extremely unimportant,Extremely unimportant
98,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Malay,,Bachelor’s degree,Islam,,Disagree,Undecided,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,31,more than 3 years but less than 5 years,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm always poor at this,Extremely important,Quite important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Quite important,Extremely unimportant,Quite important,Quite unimportant,Quite important,Slightly important,Slightly important,Extremely unimportant
99,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,"Other, please specify:","Half-Chinese, Half-Malay",Master’s degree,Agnosticism,,Agree,Strongly agree,Undecided,Undecided,Agree,Agree,Agree,27,more than 1 year but less than 3 years,I'm OK at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm OK at this,Extremely important,Quite important,Extremely important,Quite important,Extremely important,Extremely important,Extremely important,Quite important,Extremely unimportant,Extremely unimportant,Slightly unimportant,Extremely unimportant,Quite important,Extremely unimportant,Extremely unimportant,Extremely unimportant
120,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Christianity,,Agree,Disagree,Agree,Disagree,Undecided,Agree,Strongly disagree,31,more than 5 years but less than 10 years,I'm OK at this,I'm OK at this,I'm only fair at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm always poor at this,I'm always poor at this,Quite important,Slightly unimportant,Slightly important,Slightly important,Slightly important,Slightly important,Extremely important,Slightly important,Quite unimportant,Extremely unimportant,Slightly unimportant,Quite unimportant,Quite unimportant,Quite unimportant,Extremely unimportant,Extremely unimportant
130,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Buddhism,,Agree,Agree,Undecided,Strongly agree,Disagree,Undecided,Undecided,27,more than 3 years but less than 5 years,I'm OK at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm always good at this,Quite important,Quite important,Quite important,Slightly important,Quite important,Quite important,Extremely important,Slightly important,Quite unimportant,Slightly important,Slightly important,Quite unimportant,Slightly unimportant,Slightly important,Extremely unimportant,Quite unimportant
136,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Atheism,,Disagree,Undecided,Agree,Undecided,Agree,Disagree,Strongly disagree,26,NA,I'm OK at this,I'm always poor at this,I'm OK at this,I'm always poor at this,I'm only fair at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,Slightly important,Slightly important,Extremely important,Quite important,Extremely important,Quite important,Extremely important,Quite important,Slightly important,Quite unimportant,Quite unimportant,Slightly unimportant,Quite important,Slightly important,Extremely unimportant,Extremely unimportant
138,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Christianity,,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,31,more than 3 years but less than 5 years,I'm OK at this,I'm only fair at this,I'm always good at this,I'm only fair at this,I'm always poor at this,I'm always poor at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm only fair at this,Extremely important,Quite important,Extremely important,Quite important,Quite important,Extremely important,Extremely important,Extremely important,Quite unimportant,Quite unimportant,Slightly important,Quite unimportant,Slightly important,Slightly important,Slightly important,Extremely unimportant
153,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Indian,,Bachelor’s degree,Hinduism,,Disagree,Agree,Disagree,Disagree,Disagree,Undecided,Agree,28,more than 1 year but less than 3 years,I'm OK at this,I'm always good at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm only fair at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm always good at this,Quite important,Quite important,Quite important,Quite important,Slightly important,Quite important,Quite important,Quite important,Slightly unimportant,Extremely unimportant,Quite unimportant,Extremely unimportant,Quite unimportant,Slightly important,Quite unimportant,Extremely unimportant
165,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Christianity,,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,27,NA,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,Quite important,Slightly important,Quite important,Slightly important,Slightly important,Extremely important,Extremely important,Slightly important,Slightly important,Extremely unimportant,Slightly unimportant,Quite unimportant,Extremely unimportant,Slightly important,Slightly unimportant,Extremely unimportant
199,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Professional degree,Buddhism,,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,25,NA,I'm OK at this,I'm OK at this,I'm OK at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm only fair at this,Extremely important,Quite important,Extremely important,Extremely important,Quite important,Extremely important,Extremely important,Extremely important,Extremely unimportant,Quite unimportant,Quite unimportant,Quite unimportant,Slightly important,Quite unimportant,Extremely unimportant,Extremely unimportant
210,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Malay,,Bachelor’s degree,Agnosticism,,Disagree,Agree,Agree,Disagree,Agree,Agree,Undecided,26,more than 1 year but less than 3 years,I'm always good at this,I'm always good at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm only fair at this,I'm always good at this,I'm always good at this,Extremely important,Extremely important,Quite important,Quite important,Quite important,Extremely important,Slightly important,Slightly important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Slightly unimportant,Quite unimportant,Slightly unimportant,Extremely unimportant,Extremely unimportant
213,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Malay,,Master’s degree,Islam,,Agree,Disagree,Agree,Strongly agree,Undecided,Agree,Strongly disagree,30,7 - 12 months,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm always good at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm always poor at this,I'm OK at this,I'm only fair at this,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Slightly unimportant,Extremely unimportant,Quite important,Quite unimportant,Quite important,Extremely important,Quite unimportant,Quite unimportant
216,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,"Other, please specify:",Chinese + Indian,Bachelor’s degree,"Other, please specify:",Bahai',Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,25,more than 3 years but less than 5 years,I'm always good at this,I'm only fair at this,I'm always good at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm only fair at this,I'm always good at this,I'm only fair at this,I'm always good at this,I'm always good at this,I'm OK at this,Extremely important,Quite important,Extremely important,Quite important,Extremely important,Extremely important,Extremely important,Quite important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Quite unimportant,Extremely unimportant,Quite important,Extremely unimportant
220,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,College/Pre-university graduate,Atheism,,Agree,Strongly disagree,Strongly agree,Agree,Undecided,Disagree,Strongly disagree,25,more than 3 years but less than 5 years,I'm OK at this,I'm only fair at this,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,Extremely important,Quite important,Extremely important,Extremely important,Quite important,Quite important,Quite important,Slightly important,Quite unimportant,Extremely unimportant,Slightly important,Quite unimportant,Extremely unimportant,Quite unimportant,Slightly unimportant,Extremely unimportant
228,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Indian,,College/Pre-university graduate,Atheism,,Undecided,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,25,more than 1 year but less than 3 years,I'm OK at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm OK at this,Extremely important,Quite important,Quite important,Quite important,Extremely important,Extremely important,Extremely important,Slightly important,Slightly unimportant,Extremely unimportant,Slightly unimportant,Slightly important,Extremely unimportant,Slightly unimportant,Extremely unimportant,Extremely unimportant
229,100,100,Disagree,Neither agree nor disagree,Agree,No,Slightly important,Often,Moderately so,No,Female,,Indian,,Bachelor’s degree,Hinduism,,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,27,more than 5 years but less than 10 years,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm OK at this,Extremely important,Slightly important,Slightly important,Quite important,Extremely important,Quite important,Extremely important,Slightly important,Extremely unimportant,Quite unimportant,Quite important,Quite important,Slightly important,Slightly important,Slightly unimportant,Extremely unimportant
232,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Christianity,,Disagree,Agree,Undecided,Agree,Undecided,Undecided,Disagree,27,more than 1 year but less than 3 years,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm always poor at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm only fair at this,Extremely important,Slightly important,Extremely important,Slightly important,Quite important,Quite important,Extremely important,Quite important,Quite unimportant,Slightly unimportant,Slightly unimportant,Quite unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely unimportant
233,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Malay,,Bachelor’s degree,Islam,,Undecided,Disagree,Strongly agree,Strongly agree,Undecided,Undecided,Strongly disagree,26,1 - 6 months,I'm OK at this,I'm always poor at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm only fair at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm OK at this,Quite important,Slightly unimportant,Extremely important,Quite important,Quite important,Quite important,Extremely important,Quite important,Slightly important,Quite unimportant,Slightly important,Quite unimportant,Slightly important,Extremely important,Extremely important,Extremely unimportant
238,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Professional degree,Christianity,,Agree,Disagree,Agree,Agree,Agree,Disagree,Undecided,36,more than 5 years but less than 10 years,I'm always good at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm always good at this,I'm OK at this,Quite important,Slightly important,Extremely important,Slightly important,Quite important,Extremely important,Extremely important,Quite important,Quite unimportant,Quite unimportant,Slightly important,Quite unimportant,Slightly unimportant,Quite unimportant,Extremely unimportant,Extremely unimportant
248,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Master’s degree,Christianity,,Strongly disagree,Disagree,Strongly agree,Undecided,Agree,Strongly disagree,Strongly disagree,36,NA,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,Extremely important,Quite important,Quite important,Quite important,Quite important,Quite important,Extremely important,Quite important,Slightly unimportant,Slightly unimportant,Quite unimportant,Quite unimportant,Quite unimportant,Quite important,Extremely unimportant,Extremely unimportant
268,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Christianity,,Disagree,Strongly agree,Disagree,Undecided,Undecided,Disagree,Strongly agree,25,NA,I'm OK at this,I'm only fair at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,Quite unimportant,Slightly unimportant,Slightly important,Quite important,Quite unimportant,Slightly important,Quite important,Slightly important,Slightly important,Slightly important,Slightly unimportant,Quite important,Slightly important,Slightly important,Extremely unimportant,Slightly unimportant
270,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Christianity,,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,25,more than 3 years but less than 5 years,I'm only fair at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,Extremely important,Quite important,Extremely important,Quite important,Extremely important,Extremely important,Extremely important,Extremely important,Slightly unimportant,Extremely unimportant,Quite important,Quite unimportant,Quite important,Slightly important,Extremely unimportant,Slightly important
273,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Bachelor’s degree,Agnosticism,,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,28,more than 3 years but less than 5 years,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,Extremely important,Quite important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Quite important,Slightly unimportant,Quite unimportant,Slightly unimportant,Slightly unimportant,Slightly important,Quite important,Slightly unimportant,Quite unimportant
283,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,High school graduate,"Other, please specify:",Non,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,30,1 - 6 months,I'm only fair at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm always poor at this,I'm always poor at this,I'm always poor at this,I'm always good at this,I'm OK at this,I'm only fair at this,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Quite important,Quite important,Extremely important,Slightly unimportant,Extremely important,Extremely unimportant,Extremely unimportant,Extremely unimportant
306,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,"Other, please specify:","raised christian, but secretly agnostic",Disagree,Strongly agree,Disagree,Agree,Disagree,Undecided,Disagree,27,more than 3 years but less than 5 years,I'm OK at this,I'm always poor at this,I'm always poor at this,I'm only fair at this,I'm always poor at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm always poor at this,I'm only fair at this,I'm OK at this,Slightly unimportant,Quite unimportant,Slightly unimportant,Slightly important,Slightly important,Quite unimportant,Quite important,Slightly unimportant,Slightly important,Quite unimportant,Quite unimportant,Quite unimportant,Slightly unimportant,Slightly important,Extremely unimportant,Extremely unimportant
324,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite important,Often,Moderately so,No,Male,,Indian,,Bachelor’s degree,Christianity,,Agree,Strongly disagree,Strongly agree,Strongly agree,Undecided,Disagree,Strongly disagree,27,more than 1 year but less than 3 years,I'm only fair at this,I'm always poor at this,I'm OK at this,I'm always poor at this,I'm OK at this,I'm OK at this,I'm only fair at this,I'm always poor at this,I'm always good at this,I'm only fair at this,I'm OK at this,I'm only fair at this,I'm always good at this,I'm always good at this,I'm always good at this,Extremely important,Quite important,Extremely important,Extremely important,Extremely important,Extremely important,Quite important,Extremely important,Quite unimportant,Extremely unimportant,Slightly unimportant,Quite unimportant,Quite important,Quite important,Extremely important,Quite unimportant
341,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite important,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Christianity,,Disagree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,29,NA,I'm OK at this,I'm always poor at this,I'm OK at this,I'm only fair at this,I'm always poor at this,I'm only fair at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm only fair at this,I'm always good at this,Quite important,Slightly important,Extremely important,Quite important,Quite important,Extremely important,Extremely important,Slightly important,Quite unimportant,Extremely unimportant,Slightly unimportant,Quite unimportant,Slightly important,Slightly important,Extremely unimportant,Extremely unimportant
343,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Male,,Chinese,,Less than high school,Buddhism,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,39,more than 1 year but less than 3 years,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm always good at this,I'm only fair at this,I'm always good at this,I'm OK at this,I'm always good at this,I'm always good at this,I'm OK at this,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Quite important,Slightly unimportant,Slightly important,Quite important,Quite important,Slightly important,Quite important,Quite unimportant
348,100,100,Disagree,Neither agree nor disagree,Agree,No,Quite unimportant,Often,Moderately so,No,Female,,Chinese,,Bachelor’s degree,Christianity,,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,30,more than 1 year but less than 3 years,I'm always good at this,I'm OK at this,I'm only fair at this,I'm OK at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,I'm always good at this,I'm OK at this,I'm OK at this,Slightly important,Slightly unimportant,Slightly important,Slightly important,Slightly unimportant,Quite important,Extremely important,Quite important,Quite unimportant,Extremely unimportant,Quite unimportant,Extremely unimportant,Slightly unimportant,Slightly unimportant,Quite unimportant,Extremely unimportant
